指标:

Test accuracy for ΔTSV-1（温度）:
Bagging-nest100-r1039785:  {'MSE': '0.0513', 'RMSE': '0.2266', 'MAE': '0.1503', 'R2': '0.9220', 'train_r2': '0.9826'}
Bagging-nest100-r682093:  {'MSE': '0.0441', 'RMSE': '0.2100', 'MAE': '0.1420', 'R2': '0.9330', 'train_r2': '0.9835'}
Bagging-nest100-r4949646:  {'MSE': '0.0469', 'RMSE': '0.2166', 'MAE': '0.1398', 'R2': '0.9287', 'train_r2': '0.9817'}
Bagging-nest100-r2104990:  {'MSE': '0.0523', 'RMSE': '0.2286', 'MAE': '0.1578', 'R2': '0.9206', 'train_r2': '0.9824'}
Bagging-nest100-r8518521:  {'MSE': '0.0510', 'RMSE': '0.2258', 'MAE': '0.1464', 'R2': '0.9225', 'train_r2': '0.9818'}
Bagging-nest100-r4436548:  {'MSE': '0.0553', 'RMSE': '0.2351', 'MAE': '0.1580', 'R2': '0.9160', 'train_r2': '0.9830'}
Bagging-nest100-r7165020:  {'MSE': '0.0549', 'RMSE': '0.2344', 'MAE': '0.1573', 'R2': '0.9165', 'train_r2': '0.9822'}
Bagging-nest100-r3903323:  {'MSE': '0.0480', 'RMSE': '0.2191', 'MAE': '0.1386', 'R2': '0.9270', 'train_r2': '0.9835'}
Bagging-nest100-r9883689:  {'MSE': '0.0491', 'RMSE': '0.2216', 'MAE': '0.1459', 'R2': '0.9253', 'train_r2': '0.9825'}
Bagging-nest100-r6938440:  {'MSE': '0.0607', 'RMSE': '0.2464', 'MAE': '0.1587', 'R2': '0.9077', 'train_r2': '0.9833'}
Bagging-nest100-r7167901:  {'MSE': '0.0520', 'RMSE': '0.2280', 'MAE': '0.1511', 'R2': '0.9210', 'train_r2': '0.9821'}
Bagging-nest100-r3789200:  {'MSE': '0.0526', 'RMSE': '0.2294', 'MAE': '0.1497', 'R2': '0.9200', 'train_r2': '0.9816'}
Bagging-nest100-r8386907:  {'MSE': '0.0538', 'RMSE': '0.2319', 'MAE': '0.1545', 'R2': '0.9183', 'train_r2': '0.9824'}
Bagging-nest100-r9159268:  {'MSE': '0.0553', 'RMSE': '0.2352', 'MAE': '0.1555', 'R2': '0.9159', 'train_r2': '0.9826'}
Bagging-nest100-r6289098:  {'MSE': '0.0475', 'RMSE': '0.2181', 'MAE': '0.1431', 'R2': '0.9277', 'train_r2': '0.9829'}
Bagging-nest100-r2867297:  {'MSE': '0.0519', 'RMSE': '0.2279', 'MAE': '0.1500', 'R2': '0.9211', 'train_r2': '0.9827'}
Bagging-nest100-r5831012:  {'MSE': '0.0592', 'RMSE': '0.2433', 'MAE': '0.1583', 'R2': '0.9100', 'train_r2': '0.9828'}
Bagging-nest100-r3370798:  {'MSE': '0.0441', 'RMSE': '0.2101', 'MAE': '0.1400', 'R2': '0.9329', 'train_r2': '0.9827'}
Bagging-nest100-r6132022:  {'MSE': '0.0500', 'RMSE': '0.2236', 'MAE': '0.1459', 'R2': '0.9240', 'train_r2': '0.9829'}
Bagging-nest100-r1602259:  {'MSE': '0.0621', 'RMSE': '0.2492', 'MAE': '0.1653', 'R2': '0.9056', 'train_r2': '0.9814'}
Bagging-nest200-r2960974:  {'MSE': '0.0559', 'RMSE': '0.2364', 'MAE': '0.1539', 'R2': '0.9151', 'train_r2': '0.9827'}
Bagging-nest200-r9819812:  {'MSE': '0.0506', 'RMSE': '0.2249', 'MAE': '0.1467', 'R2': '0.9231', 'train_r2': '0.9834'}
Bagging-nest200-r4209056:  {'MSE': '0.0562', 'RMSE': '0.2372', 'MAE': '0.1524', 'R2': '0.9145', 'train_r2': '0.9834'}
Bagging-nest200-r9328410:  {'MSE': '0.0529', 'RMSE': '0.2299', 'MAE': '0.1488', 'R2': '0.9197', 'train_r2': '0.9839'}
Bagging-nest200-r1751400:  {'MSE': '0.0534', 'RMSE': '0.2311', 'MAE': '0.1541', 'R2': '0.9188', 'train_r2': '0.9829'}
Bagging-nest200-r2516044:  {'MSE': '0.0481', 'RMSE': '0.2193', 'MAE': '0.1482', 'R2': '0.9269', 'train_r2': '0.9832'}
